"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MNI","McClatchy Company (The)","9.19","$69.62M","1988","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/mni",
"MKC","McCormick & Company, Incorporated","101.36","$12.69B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mkc",
"MKC.V","McCormick & Company, Incorporated","n/a","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mkc.v",
"MDR","McDermott International, Inc.","6.29","$1.52B","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mdr",
"MCD","McDonald&#39;s Corporation","129.49","$106.05B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/mcd",
"MUX","McEwen Mining Inc.","3.15","$943.64M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mux",
"MCK","McKesson Corporation","148.5","$31.49B","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/mck",
"MDU","MDU Resources Group, Inc.","27.14","$5.3B","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/mdu",
"MJN","Mead Johnson Nutrition Company","88.44","$16.23B","2009","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mjn",
"MTL","Mechel PAO","5.19","$1.08B","2004","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mtl",
"MTL^","Mechel PAO","1.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtl^",
"MRT","MedEquities Realty Trust, Inc.","10.89","$346.2M","2016","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mrt",
"MPW","Medical Properties Trust, Inc.","12.76","$4.1B","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mpw",
"MED","MEDIFAST INC","43.26","$515.07M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/med",
"MCC","Medley Capital Corporation","7.55","$411.28M","2011","n/a","n/a","http://www.nasdaq.com/symbol/mcc",
"MCV","Medley Capital Corporation","25.1601","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mcv",
"MCX","Medley Capital Corporation","26","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/mcx",
"MDLQ","Medley LLC","25.33","n/a","2017","Finance","Investment Managers","http://www.nasdaq.com/symbol/mdlq",
"MDLX","Medley LLC","24.6831","n/a","2016","Finance","Investment Managers","http://www.nasdaq.com/symbol/mdlx",
